麺	めん
飲む	のむ
呑む	のむ
飮む	のむ
用意	ようい
道	ち
道	ぢ
道	どう
道	みち
径	みち
途	みち
路	みち
通る	とおる
実験	じっけん
人気	じんき
人気	にんき
人気	ひとけ
見る	みる
観る	みる
視る	みる
涼しい	すずしい
感じる	かんじる
同じ	おなじ
同じ	おんなじ
形	かた
形	かたち
容	かたち
形	がた
形	けい
形	なり
大きさ	おおきさ
箱	はこ
函	はこ
凾	はこ
匣	はこ
筐	はこ
筥	はこ
持つ	もつ
重い	おもい
尋ねる	たずねる
訊ねる	たずねる
白	しろ
黒	くろ
答える	こたえる
本当	ほんと
本当	ほんとう
重さ	おもさ
比べる	くらべる
較べる	くらべる
競べる	くらべる
世界	せかい
子供	こども
子ども	こども
遊ぶ	あすぶ
遊ぶ	あそぶ
鬼ごっこ	おにごっこ
世界中	せかいじゅう
鬼	おに
鬼	き
決める	きめる
負ける	まける
世界各地	せかいかくち
似る	にる
手	て
握る	にぎる
石	いし
石	こく
斛	こく
指	おゆび
指	および
指	ゆび
開く	あく
空く	あく
明く	あく
開く	はだく
開く	ひらく
紙	かみ
表す	あらわす
顕す	あらわす
現す	あらわす
現わす	あらわす
表わす	あらわす
表す	ひょうす
勝負	しょうぶ
勝つ	かつ
克つ	かつ
贏つ	かつ
包む	くるむ
包む	つつむ
裹む	つつむ
金槌	かなづち
金づち	かなづち
鉄鎚	かなづち
布	にぬ
布	にの
布	ぬの
布	ふ
指先	ゆびさき
全部	ぜんぶ
合わせる	あわせる
合せる	あわせる
併せる	あわせる
前	さき
前	ぜん
前	まえ
鳥	とり
禽	とり
作る	つくる
創る	つくる
造る	つくる
水	すい
水	みず
負	おい
負	ふ
親指	おやゆび
象	しょう
象	ぞう
人差し指	ひとさしゆび
人差指	ひとさしゆび
人指し指	ひとさしゆび
小指	こゆび
子指	こゆび
小さい	ちいさい
大きい	おおきい
倒す	たおす
勉強	べんきょう
普通	ふつう
幼稚園	ようちえん
父さん	とうさん
母さん	かあさん
顔	かお
顔	かんばせ
生える	はえる
耳	みみ
見える	まみえる
見える	みえる
特徴	とくちょう
表現	ひょうげん
点	ちょぼ
点	てん
点	ぼち
点	ぼつ
素晴らしい	すばらしい
素晴しい	すばらしい
素晴らしい	すんばらしい
似顔絵	にがおえ
似顔画	にがおえ
正確	せいかく
本人	ほんにん
強調	きょうちょう
目	め
眼	め
目	もく
鼻	はな
倍	ばい
長い	ながい
曲がる	まがる
曲る	まがる
誰	た
誰	たれ
誰	だれ
技術	ぎじゅつ
共通	きょうつう
次	じ
次	つぎ
味付け	あじつけ
味つけ	あじつけ
味着け	あじつけ
料理	りょうり
実は	じつは
聞く	きく
訊く	きく
聴く	きく
活躍	かつやく
警察	けいさつ
逃げる	にげる
迯げる	にげる
逃れる	のがれる
犯人	はんにん
捕まえる	つかまえる
捉まえる	つかまえる
掴まえる	つかまえる
使う	つかう
遣う	つかう
市民	しみん
情報	じょうほう
集める	あつめる
最近	さいきん
何でも	なんでも
仕事	しごと
少ない	すくない
寡い	すくない
少い	すくない
尠い	すくない
話	はなし
噺	はなし
話し	はなし
咄	はなし
話	わ
事件	じけん
怪しい	あやしい
考える	かんがえる
勘える	かんがえる
稽える	かんがえる
程度	ていど
辺	え
辺	へ
辺	へん
辺	べ
彼	あ
彼	あれ
彼	かれ
一緒	いっしょ
高速道路	こうそくどうろ
便利	べんり
運転	うんてん
単調	たんちょう
長時間	ちょうじかん
走る	はしる
趨る	はしる
奔る	はしる
眠い	ねむい
睡い	ねむい
不注意	ふちゅうい
事故	じこ
起こる	おこる
起る	おこる
運転手	うんてんしゅ
楽しい	たのしい
娯しい	たのしい
愉しい	たのしい
非常に	ひじょうに
寝る	ねる
寐る	ねる
目的地	もくてきち
着く	つく
着く	はく
一人	いちにん
一人	ひとり
１人	ひとり
独り	ひとり
起きる	おきる
大抵	たいてい
起こす	おこす
起す	おこす
途中	とちゅう
代わる	かわる
換わる	かわる
替わる	かわる
代る	かわる
休憩	きゅうけい
将来	しょうらい
必要	ひつよう
必用	ひつよう
映画	えいが
自動車	じどうしゃ
自動	じどう
自働	じどう
進める	すすめる
入口	いりくち
入口	いりぐち
入り口	いりぐち
入口	はいりくち
入口	はいりぐち
出口	でぐち
何も	なにも
周り	まわり
車	くるま
距離	きょり
計る	はかる
測る	はかる
量る	はかる
衝突	しょうとつ
近づく	ちかづく
心配	しんぱい
間に	あいだに
休憩所	きゅうけいじょ
入る	いる
入る	はいる
這入る	はいる
例えば	たとえば
夜	よ
夜	よる
九州	きゅうしゅう
出発	しゅっぱつ
一晩中	ひとばんじゅう
続ける	つづける
東京	とうきょう
疲れる	つかれる
安全	あんぜん
私	あたい
私	あたくし
私	あたし
私	あっし
私	あて
私	わい
私	わし
私	わたい
私	わたくし
私	わたし
私	わっし
私	わっち
私	わて
私	わらわ
勇気	ゆうき
ご覧	ごらん
様々	さまさま
様々	さまざま
様様	さまざま
分野	ぶんや
世界一	せかいいち
記録	きろく
本	ほん
本	もと
人間	じんかん
人間	にんげん
実に	げに
実に	じつに
実に	まことに
真に	まことに
誠に	まことに
寔に	まことに
實に	まことに
洵に	まことに
挑戦	ちょうせん
厳しい	きびしい
酷しい	きびしい
練習	れんしゅう
重ねる	かさねる
体	からだ
躯	からだ
身体	からだ
躰	からだ
体	たい
体	てい
限界	げんかい
破る	やぶる
敗る	やぶる
世界新記録	せかいしんきろく
誕生	たんじょう
物	ぶつ
物	もの
物	もん
以下	いか
已下	いか
以下	いげ
結構	けっこう
載る	のる
協力	きょうりょく
共力	きょうりょく
以外	いがい
食べ物	たべもの
出来上がる	できあがる
でき上がる	できあがる
出来上る	できあがる
楽	らく
他に	ほかに
誰も	だれも
牛乳	ぎゅうにゅう
遠い	とおい
飛ばす	とばす
世界記録	せかいきろく
誰でも	だれでも
簡単	かんたん
簡短	かんたん
紹介	しょうかい
半分	はんぶん
半分	はんぷん
折る	おる
何回	なんかい
繰り返す	くりかえす
くり返す	くりかえす
繰りかえす	くりかえす
繰返す	くりかえす
以上	いじょう
已上	いじょう
申請	しんせい
相当	そうとう
難しい	むずかしい
難しい	むつかしい
厚い	あつい
富士山	ふじさん
不尽山	ふじさん
不二山	ふじさん
高さ	たかさ
経験	けいけん
漢字	かんじ
出典	しゅってん
百科事典	ひゃっかじてん
百科辞典	ひゃっかじてん
項目	こうもく
機械	きかい
器械	きかい
一種	いっしゅ
一種	ひとくさ
記述	きじゅつ
用法	ようほう
曖昧	あいまい
あい昧	あいまい
回避	かいひ
何等か	なんらか
装置	そうち
若しくは	もしくは
編集	へんしゅう
編修	へんしゅう
編輯	へんしゅう
主な	おもな
定義	ていぎ
主に	おもに
意味	いみ
大別	たいべつ
自律	じりつ
的	てき
的	まと
連続	れんぞく
例	ためし
例	れい
産業	さんぎょう
用	よう
機能	きのう
機動	きどう
戦士	せんし
鉄腕	てつわん
等	とう
等	など
抔	など
等	ら
作品	さくひん
登場	とうじょう
兵器	へいき
人造人間	じんぞうにんげん
場合	ばあい
工程	こうてい
手順	てじゅん
単一	たんいつ
動作	どうさ
絶えず	たえず
操作	そうさ
範疇	はんちゅう
含む	くくむ
含む	ふくむ
銜む	ふくむ
許容	きょよう
状況	じょうきょう
情況	じょうきょう
判断	はんだん
単純	たんじゅん
与える	あたえる
条件	じょうけん
対して	たいして
所定	しょてい
境界	きょうかい
明確	めいかく
区分	くぶん
出来る	できる
出來る	できる
自動販売機	じどうはんばいき
自動販売器	じどうはんばいき
業務	ぎょうむ
代行	だいこう
一方	いっぽう
一方	ひとかた
手動	しゅどう
操る	あやつる
人形	にんぎょう
類	たぐい
類	るい
何	なに
何	なん
目的	もくてき
予め	あらかじめ
設計	せっけい
一連	いちれん
特定	とくてい
今日	きょう
今日	こんじつ
今日	こんち
今日	こんにち
原型	げんけい
見出す	みいだす
見いだす	みいだす
見い出す	みいだす
見出だす	みいだす
見出す	みだす
間接	かんせつ
見なす	みなす
看做す	みなす
見做す	みなす
可能	かのう
同時に	どうじに
動力	どうりょく
内蔵	ないぞう
機械的	きかいてき
電気	でんき
伝達	でんたつ
昨今	さくこん
昨今	さっこん
言語	げんご
言語	ごんご
扱う	あつかう
物体	ぶったい
物体	もったい
存在	そんざい
間違う	まちがう
前述	ぜんじゅつ
本来	ほんらい
操縦	そうじゅう
者	しゃ
者	もの
者	もん
搭乗	とうじょう
原則	げんそく
含める	ふくめる
乗る	のる
作業用	さぎょうよう
呼ぶ	よぶ
喚ぶ	よぶ
特に	とくに
高度	こうど
単なる	たんなる
指示	しじ
命令	めいれい
一層	いっそ
一層	いっそう
来る	きたる
来たる	きたる
来る	くる
古い	ふるい
旧い	ふるい
故い	ふるい
概念	がいねん
多岐に渡る	たきにわたる
語源	ごげん
語原	ごげん
小説家	しょうせつか
創作	そうさく
発表	はっぴょう
戯曲	ぎきょく
広まる	ひろまる
生きる	いきる
活きる	いきる
化学	かがく
化学	ばけがく
物質	ぶっしつ
加工	かこう
組み合わせる	くみあわせる
組み合せる	くみあわせる
労働	ろうどう
労動	ろうどう
着想	ちゃくそう
伝説	でんせつ
影響	えいきょう
自身	じしん
兄	あに
兄	けい
兄	にい
画家	がか
話す	はなす
名前	なまえ
絵筆	えふで
口調	くちょう
異説	いせつ
結果	けっか
入力	にゅうりょく
実現	じつげん
検索	けんさく
返す	かえす
反す	かえす
据え置く	すえおく
型	かた
型	がた
製造	せいぞう
動く	うごく
限る	かぎる
人間社会	にんげんしゃかい
旧来	きゅうらい
同等	どうとう
一部	いちぶ
歩行	ほこう
歩こう	ほこう
人間型	にんげんがた
建物	たてもの
巡回	じゅんかい
警備	けいび
開始	かいし
病院	びょういん
物資	ぶっし
運搬	うんぱん
間	あいだ
間	かん
間	けん
間	ま
移動	いどう
始める	はじめる
創める	はじめる
受ける	うける
享ける	うける
承ける	うける
請ける	うける
想像	そうぞう
実在	じつざい
概略	がいりゃく
解説	かいせつ
長い間	ながいあいだ
範囲内	はんいない
組み立て	くみたて
組立	くみたて
工場	こうじょう
工場	こうば
生産ライン	せいさんライン
高温	こうおん
環境	かんきょう
下	か
下	げ
下	した
下	しも
下	もと
許	もと
点検	てんけん
保守	ほしゅ
二足	にそく
技研	ぎけん
川	かわ
河	かわ
川	がわ
総合	そうごう
綜合	そうごう
研究所	けんきゅうしょ
研究所	けんきゅうじょ
川崎	かわさき
重工業	じゅうこうぎょう
人型ロボット	ひとがたロボット
企画	きかく
向け	むけ
個人	こじん
現れ	あらわれ
現われ	あらわれ
表れ	あらわれ
指揮	しき
吹く	ふく
噴く	ふく
叩く	たたく
敲く	たたく
叩く	はたく
目指す	めざす
目差す	めざす
描く	えがく
画く	えがく
描く	かく
溶け込む	とけこむ
解け込む	とけこむ
解込む	とけこむ
融け込む	とけこむ
溶込む	とけこむ
共同	きょうどう
協同	きょうどう
共に	ともに
生活	せいかつ
沿う	そう
少なからず	すくなからず
尠からず	すくなからず
開発者	かいはつしゃ
発言	はつげん
示す	しめす
若い	わかい
世代	せだい
巨大	きょだい
言及	げんきゅう
機動警察	きどうけいさつ
公言	こうげん
動機	どうき
依頼	いらい
社会	しゃかい
普及	ふきゅう
制御	せいぎょ
制禦	せいぎょ
制馭	せいぎょ
博覧会	はくらんかい
展示	てんじ
施設	しせつ
近年	きんねん
高度化	こうどか
伴う	ともなう
伴なう	ともなう
案内	あんない
実質的	じっしつてき
果たす	はたす
到る	いたる
会場	かいじょう
客寄せ	きゃくよせ
証券取引所	しょうけんとりひきじょ
史上	しじょう
初める	そめる
取引	とりひき
取り引き	とりひき
取引き	とりひき
鐘	かね
鳴らす	ならす
科学	かがく
未来	みらい
青山	せいざん
常設	じょうせつ
歩く	あるく
回る	まわる
廻る	まわる
回る	みる
回る	めぐる
回る	もとおる
浸透	しんとう
滲透	しんとう
家庭	かてい
愛玩	あいがん
娯楽	ごらく
果ては	はては
家族	かぞく
家庭用	かていよう
取る	とる
自由に	じゆうに
和む	なごむ
更に	さらに
居る	いる
居る	おる
近未来	きんみらい
欲求	よっきゅう
応える	こたえる
報える	こたえる
付く	つく
付く	づく
動物	どうぶつ
市場	いちば
市庭	いちば
市場	しじょう
投入	とうにゅう
傾向	けいこう
世界初	せかいはつ
本格的	ほんかくてき
家事	かじ
手伝う	てつだう
要介護	ようかいご
介護	かいご
一環	いっかん
家庭内	かていない
警邏	けいら
試みる	こころみる
始まる	はじまる
対する	たいする
位置	いち
位地	いち
上半身	じょうはんしん
竜	たつ
竜	りゅう
龍	りゅう
竜	りょう
災害	さいがい
現場	げんじょう
現場	げんば
大型	おおがた
大形	おおがた
身長	しんちょう
体重	たいじゅう
無限	むげん
軌道	きどう
遠隔	えんかく
有人	ゆうじん
腕	うで
腕	かいな
下半身	かはんしん
下半身	しもはんしん
研究開発	けんきゅうかいはつ
障害者	しょうがいしゃ
車いす	くるまいす
代替	だいがえ
代替え	だいがえ
代替	だいがわり
代替	だいたい
国際	こくさい
最大	さいだい
級	きゅう
階段	かいだん
昇降	しょうこう
原	げん
原	ともがら
原	はら
原	ばら
足	あし
足	そく
詳細	しょうさい
軍事	ぐんじ
付随	ふずい
危険物	きけんぶつ
処理	しょり
人的	じんてき
戦死	せんし
減らす	へらす
機械化	きかいか
米国	べいこく
偵察	ていさつ
不意	ふい
接触	せっしょく
戦闘	せんとう
巻く	まく
捲く	まく
地雷	じらい
戦後	せんご
特殊	とくしゅ
宇宙	うちゅう
苛酷	かこく
面	おも
面	おもて
面	つら
頬	つら
面	づら
面	めん
面	も
面	もて
運用	うんよう
事業	じぎょう
重要性	じゅうようせい
益々	ますます
益益	ますます
一度	いちど
一度	ひとたび
打ち上げる	うちあげる
打上げる	うちあげる
打ち上げる	ぶちあげる
上げる	あげる
二度と	にどと
帰る	かえる
還る	かえる
歸る	かえる
探査	たんさ
任務	にんむ
人道的	じんどうてき
見地	けんち
乗せる	のせる
訳	やく
訳	わけ
火星	かせい
月	がつ
月	げつ
月	つき
裏側	うらがわ
無線	むせん
直接	ちょくせつ
自己	じこ
能力	のうりょく
無人	ぶじん
無人	ぶにん
無人	むじん
無人	むにん
求める	もとめる
上	うえ
上	うわ
上	かみ
上	じょう
探索	たんさく
経路	けいろ
径路	けいろ
逕路	けいろ
続行	ぞっこう
実用	じつよう
供	とも
伴	とも
侶	とも
自国	じこく
製	せい
生命維持装置	せいめいいじそうち
国際宇宙ステーション	こくさいうちゅうステーション
修正	しゅうせい
宇宙船	うちゅうせん
国内	こくない
方針	ほうしん
緊急	きんきゅう
脱出	だっしゅつ
機材	きざい
乗員	じょういん
帰還	きかん
無しで	なしで
完全	かんぜん
開発中	かいはつちゅう
並ぶ	ならぶ
双ぶ	ならぶ
列ぶ	ならぶ
一つ	ひとつ
１つ	ひとつ
一	ひとつ
未踏	みとう
海底	かいてい
小型	こがた
小形	こがた
安価	あんか
案価	あんか
大量	たいりょう
潜水艇	せんすいてい
海洋	かいよう
資源	しげん
期待	きたい
補助	ほじょ
強化	きょうか
外骨格	がいこっかく
医療	いりょう
回復	かいふく
快復	かいふく
恢復	かいふく
見込む	みこむ
脊髄	せきずい
病気	びょうき
困難	こんなん
対象	たいしょう
波	なみ
浪	なみ
濤	なみ
大学	だいがく
大学院	だいがくいん
情報工学	じょうほうこうがく
研究科	けんきゅうか
山海	さんかい
教授	きょうじゅ
中心となる	ちゅうしんとなる
実機	じっき
小説	しょうせつ
架空	かくう
松下電器産業	まつしたでんきさんぎょう
神戸	こうべ
学院	がくいん
学部	がくぶ
夫	おっと
夫	つま
共同開発	きょうどうかいはつ
半身	はんしん
半身	はんみ
麻痺	まひ
痲痺	まひ
患者	かんじゃ
常	ただ
常	つね
常	とこ
常	とわ
筋肉	きんにく
筋肉	すじにく
検知	けんち
側	かたわら
側	かわ
側	がわ
側	そく
側	そば
傍	そば
側	はた
側	わき
装着	そうちゃく
人工	じんこう
伝える	つたえる
左右	さう
左右	さゆう
左右	そう
左右	とかく
通常	つうじょう
単体	たんたい
福祉	ふくし
物流	ぶつりゅう
工事現場	こうじげんば
広く	ひろく
米軍	べいぐん
人命救助	じんめいきゅうじょ
従来	じゅうらい
先に	さきに
曩に	さきに
先に	せんに
述べる	のべる
宣べる	のべる
陳べる	のべる
撤去	てっきょ
救護	きゅうご
二次	にじ
担う	になう
荷う	になう
荷なう	になう
効率	こうりつ
役立つ	やくだつ
地震	じしん
地震	ない
地震	なえ
噴火	ふんか
津波	つなみ
海嘯	つなみ
津浪	つなみ
被災地	ひさいち
早い	はやい
疾い	はやい
捷い	はやい
速い	はやい
発見	はっけん
保護	ほご
向上	こうじょう
防ぐ	ふせぐ
拒ぐ	ふせぐ
禦ぐ	ふせぐ
選ぶ	えらぶ
撰ぶ	えらぶ
択ぶ	えらぶ
倒壊	とうかい
残す	のこす
遺す	のこす
建設機械	けんせつきかい
供え	そなえ
瓦礫	がりゃく
瓦礫	がれき
火災	かさい
消防隊	しょうぼうたい
突入	とつにゅう
個所	かしょ
か所	かしょ
カ所	かしょ
ケ所	かしょ
ヶ所	かしょ
箇所	かしょ
侵入	しんにゅう
放水	ほうすい
銃	じゅう
砲	じゅう
備える	そなえる
具える	そなえる
調べる	しらべる
水中	すいちゅう
捜索	そうさく
救助	きゅうじょ
回収	かいしゅう
消防庁	しょうぼうちょう
配備	はいび
式	しき
消防	しょうぼう
種類	しゅるい
了解	りょうかい
諒解	りょうかい
理解	りかい
経る	へる
歴る	へる
許す	ゆるす
赦す	ゆるす
聴す	ゆるす
適当	てきとう
辞書	じしょ
被害者	ひがいしゃ
携帯	けいたい
往々にして	おうおうにして
バス停	バスてい
散歩	さんぽ
或は	あるいは
或は	あるは
とは言え	とはいえ
況して	まして
且つ	かつ
強ち	あながち
導入	どうにゅう
徐々に	じょじょに
徐徐に	じょじょに
知識	ちしき
洗濯	せんたく
現金	げんきん
触る	さわる
不便	ふびん
不便	ふべん
感じる	かんじる
緑色	みどりいろ
翠色	みどりいろ
緑色	りょくしょく
清涼飲料水	せいりょういんりょうすい
抵抗	ていこう
見る	みる
観る	みる
視る	みる
違和感	いわかん
左側通行	ひだりがわつうこう
気付く	きづく
気づく	きづく
人	じん
人	たり
人	と
人	にん
人	ひと
人	り
褒める	ほめる
誉める	ほめる
謙遜	けんそん
謙そん	けんそん
返す	かえす
反す	かえす
眼鏡	がんきょう
眼鏡	めがね
新調	しんちょう
矯正	きょうせい
きょう正	きょうせい
度	たび
度	ど
驚く	おどろく
愕く	おどろく
駭く	おどろく
本物	ほんもの
感動	かんどう
空港	くうこう
綺麗	きれい
奇麗	きれい
完全	かんぜん
歯磨き	はみがき
歯磨	はみがき
親子丼	おやこどん
親子丼	おやこどんぶり
若い	わかい
女の子	おんなのこ
女の児	おんなのこ
紐	ひも
丸出し	まるだし
着る	きる
著る	きる
何とも	なんとも
何共	なんとも
気を抜く	きをぬく
自分	じぶん
平気	へいき
帰国	きこく
公共	こうきょう
利用	りよう
際	きわ
際	さい
音を出す	おとをだす
日付	ひづけ
日付け	ひづけ
日附	ひづけ
表記	ひょうき
覚える	おぼえる
憶える	おぼえる
靴屋	くつや
並ぶ	ならぶ
双ぶ	ならぶ
列ぶ	ならぶ
反応	はんのう
素	す
素	そ
素	もと
机	つき
机	つくえ
案	つくえ
写真	しゃしん
平成	へいせい
把握	はあく
列	れつ
開ける	あける
空ける	あける
明ける	あける
開ける	はだける
開ける	ひらける
手持ち	てもち
服	ふく
服	ぶく
比	ころおい
比	ひ
種類	しゅるい
分ける	わける
習慣	しゅうかん
暖冬	だんとう
気象庁	きしょうちょう
平年	へいねん
過去	かこ
機関	きかん
二酸化炭素	にさんかたんそ
濃度	のうど
温室	おんしつ
石炭	せきたん
半袖	はんそで
気候	きこう
作物	さくぶつ
作物	さくもつ
南極	なんきょく
氷	こおり
凍り	こおり
氷	ひ
知恵	ちえ
智恵	ちえ
智慧	ちえ
異常	いじょう
深刻	しんこく
馬鹿	ばか
破家	ばか
莫迦	ばか
賢い	かしこい
畏い	かしこい
平均	へいきん
平均	へいぎん
温暖	おんだん
発生	はっせい
努力	どりょく
実感	じっかん
過ごす	すごす
過す	すごす
燃やす	もやす
燃す	もやす
態度	たいど
職組	しょくそ
飾る	かざる
携わる	たずさわる
支店	してん
希望	きぼう
冀望	きぼう
偽版	ぎはん
端役	はやく
合衆国	がっしゅうこく
為に	ために
流暢	りゅうちょう
記者会見	きしゃかいけん
怨む	うらむ
感謝	かんしゃ
勧める	すすめる
奨める	すすめる
薦める	すすめる
育てる	そだてる
洗脳	せんのう
両方	りょうほう
放送	ほうそう
脚本	きゃくほん
戦争	せんそう
提案	ていあん
翻訳	ほんやく
飜訳	ほんやく
漫画	まんが
視聴者	しちょうしゃ
字幕	じまく
台詞	せりふ
博す	はくす
変換	へんかん
文章	ぶんしょう
規則	きそく
解析	かいせき
置き換える	おきかえる
無駄	むだ
努力	どりょく
自殺	じさつ
殺す	ころす
割と	わりと
不確か	ふたしか
詰り	つまり
熟語	じゅくご
用いる	もちいる
印象	いんしょう
目に留まる	めにとまる
留学	りゅうがく
喋る	しゃべる
訂正	ていせい
頂く	いただく
戴く	いただく
遅い	おそい
鈍い	おそい
遅れる	おくれる
後れる	おくれる
近道	ちかみち
近路	ちかみち
聴く	きく
真似	まね
恐れる	おそれる
畏れる	おそれる
怖れる	おそれる
懼れる	おそれる
添削	てんさく
大変	たいへん
迷う	まよう
紕う	まよう
頑張る	がんばる
荷物	にもつ
篤と	とくと
習得	しゅうとく
修得	しゅうとく
顕微鏡	けんびきょう
慣れる	なれる
馴れる	なれる
狎れる	なれる
美しい	うつくしい
壊れる	こわれる
毀れる	こわれる
懐中電灯	かいちゅうでんとう
結ぶ	むすぶ
連絡	れんらく
聯絡	れんらく
触れる	ふれる
暮す	くらす
里	さと
里	り
父	ちち
母	かか
母	はは
品	しな
品	ひん
訪ねる	たずねる
訪れる	おとずれる
皆	みな
皆	みんな
改めて	あらためて
犯罪	はんざい
専門家	せんもんか
逝去	せいきょ
街	がい
街	まち
数多い	かずおおい
君	きみ
公	きみ
君	くん
賛成	さんせい
思える	おもえる
勝手	かって
微笑む	ほほえむ
ほほ笑む	ほほえむ
頬笑む	ほほえむ
朝食	ちょうしょく
椅子	いし
椅子	いす
倚子	いす
引く	ひく
曳く	ひく
牽く	ひく
得	う
得	とく
損	そん
失業	しつぎょう
除く	のぞく
男	おとこ
活動	かつどう
朝刊	ちょうかん
可能性	かのうせい
小さな	ちいさな
痕跡	こんせき
兆候	ちょうこう
徴候	ちょうこう
十分	じっぷん
十分	じゅうぶん
十分	じゅっぷん
卓越	たくえつ
悪辣	あくらつ
頭脳	ずのう
僕	しもべ
僕	ぼく
僕	やつがれ
僕	やつこらま
巣	す
栖	す
縁	え
縁	えに
縁	えにし
縁	えん
縁	ふち
縁	へり
縁	ゆかり
縁	よすか
縁	よすが
振動	しんどう
中央	ちゅうおう
潜む	ひそむ
濳む	ひそむ
汚らわしい	けがらわしい
蜘蛛	くも
匹	き
匹	ひき
疋	ひき
暴く	あばく
窃盗	せっとう
理不尽	りふじん
強盗	ごうとう
無益	むえき
傷害	しょうがい
手がかり	てがかり
穴	あな
孔	あな
穴	けつ
高等	こうとう
科学的	かがくてき
