麺	noodles<br><br>めん
非常に	extremely<br><br>ひじょうに
寝る	to sleep (lying down)<br><br>ねる
目的地	place of destination<br><br>もくてきち
着く	to arrive at (by traveling)<br><br>つく
一人	one person<br><br>ひとり
起きる	to get up (in the morning)<br><br>おきる
大抵	mostly<br><br>たいてい
起こす	to cause<br><br>おこす
途中	on the way<br><br>とちゅう
代わる	to take the place of<br><br>かわる
休憩	rest<br><br>きゅうけい
将来	future (usually near)<br><br>しょうらい
必要	necessity<br><br>ひつよう
映画	movie<br><br>えいが
自動車	automobile<br><br>じどうしゃ
自動	automatic<br><br>じどう
進める	to advance; to promote; to hasten<br><br>すすめる
入口	entrance<br><br>いりくち
出口	exit<br><br>でぐち
何も	nothing (with neg. verbs)<br><br>なにも
周り	surroundings<br><br>まわり
車	car<br><br>くるま
距離	distance<br><br>きょり
計る　測る	to measure<br><br>はかる
衝突	collision<br><br>しょうとつ
近づく	to approach<br><br>ちかづく
心配	worry<br><br>しんぱい
間に	while<br><br>あいだに
休憩所	parking area (e.g. off highways) - "resting place"<br><br>きゅうけいじょ
入る	to enter<br><br>はいる
例えば	for example<br><br>たとえば
夜	evening 一字<br><br>よる
九州	Kyushu (southernmost of the four main islands of Japan)<br><br>きゅうしゅう
出発	departure<br><br>しゅっぱつ
一晩中	all night long<br><br>ひとばんじゅう
続ける	to continue<br><br>つづける
東京	Tokyo (current capital of Japan)<br><br>とうきょう
疲れる	to get tired<br><br>つかれる
安全	safety<br><br>あんぜん
私	I<br><br>わたし
勇気	courage<br><br>ゆうき
ご覧	please look<br><br>ごらん
様々	varied<br><br>さまざま
分野	field (of human activity)<br><br>ぶんや
世界一	best in the world<br><br>せかいいち
記録	record<br><br>きろく
本	book<br><br>ほん
人間	human being<br><br>にんげん
実に	indeed ("in truth", "to be honest")<br><br>じつに
挑戦	challenge<br><br>ちょうせん
厳しい	severe, strict<br><br>きびしい
練習	practice (exercise)<br><br>れんしゅう
重ねる	to pile up ("heavy" things)<br><br>かさねる
体	body<br><br>からだ
限界	limit (体の...)<br><br>げんかい
破る	to defeat<br><br>やぶる
世界新記録	new world record<br><br>せかいしんきろく
誕生	birth<br><br>たんじょう
物	thing<br><br>もの
以下	not exceeding<br><br>いか
結構	sufficient, quite, plenty<br><br>けっこう
載る	to appear (in print)<br><br>のる
協力	cooperation<br><br>きょうりょく
以外	with the exception of<br><br>いがい
食べ物	food<br><br>たべもの
出来上がる	to be completed<br><br>できあがる
楽	comfort<br><br>らく
他に	in addition, besides<br><br>ほかに
誰も	everyone ("anyone")<br><br>だれも
牛乳	milk<br><br>ぎゅうにゅう
遠い	far<br><br>とおい
飛ばす	to hurl, throw<br><br>とばす
世界記録	world record<br><br>せかいきろく
誰でも	anyone<br><br>だれでも
簡単	simple<br><br>かんたん
紹介	introduction (of a person to another)<br><br>しょうかい
半分	half<br><br>はんぶん
折る	to fold<br><br>おる
何回	how many times?<br><br>なんかい
繰り返す	to repeat<br><br>くりかえす
以上	... and more<br><br>いじょう
申請	application, petition<br><br>しんせい
相当	considerable<br><br>そうとう
難しい	difficult<br><br>むつかしい
厚い	thick<br><br>あつい
富士山	Mt Fuji<br><br>ふじさん
高さ	height<br><br>たかさ
経験	experience<br><br>けいけん
漢字	kanji<br><br>かんじ
出典	source (e.g. quotation)<br><br>しゅってん
百科事典	encyclopedia<br><br>ひゃっかじてん
項目	item<br><br>こうもく
機械	machine<br><br>きかい
一種	species, type (lit. "one kind")<br><br>ひとくさ、いっしゅ
記述	description<br><br>きじゅつ
用法	directions (for use)<br><br>ようほう
曖昧	ambiguous<br><br>あいまい
回避	evasion; avoidance<br><br>かいひ
何等か	some<br><br>なんらか
装置	equipment<br><br>そうち
若しくは	or<br><br>もしくは
編集	editing<br><br>へんしゅう
主な	chief<br><br>おもな
定義	definition<br><br>ていぎ
主に	mainly<br><br>おもに
意味	meaning<br><br>いみ
大別	general classification<br><br>たいべつ
自律	autonomy<br><br>じりつ
的	-like<br><br>てき
連続	serial; consecutive; continuity; occurring in succession; continuing<br><br>れんぞく
例	example<br><br>れい
産業	industry<br><br>さんぎょう
用	use<br><br>よう
機能	function; facility; faculty; feature<br><br>きのう
機動	maneuver<br><br>きどう
戦士	soldier (~warrior)<br><br>せんし
鉄腕	strong arm ("steel arm")<br><br>てつわん
等	et cetera<br><br>など
作品	work (e.g. book, film, composition, etc.)<br><br>さくひん
登場	entry (on stage)<br><br>とうじょう
兵器	weapons<br><br>へいき
人造人間	cyborg<br><br>じんぞうにんげん
場合	case<br><br>ばあい
工程	manufacturing process<br><br>こうてい
手順	process; procedure; sequence<br><br>てじゅん
単一	single<br><br>たんいつ
動作	action<br><br>どうさ
絶えず	constantly<br>三字<br><br>たえず
操作	operation (e.g. manual operation)<br><br>そうさ
範疇	category<br><br>はんちゅう
含む	to contain<br><br>ふくむ
許容	permission, tolerance, allow<br><br>きょよう
状況	state of affairs (around you)<br><br>じょうきょう
判断	judgement<br><br>はんだん
単純	simplicity<br><br>たんじゅん
与える	to give<br><br>あたえる
条件	condition(s) (e.g. "meet my conditions")<br><br>じょうけん
対して	in regard to<br><br>たいして
所定	fixed<br><br>しょてい
境界	boundary<br>二字<br><br>きょうかい
明確	clear(ing) up<br><br>めいかく
区分	division<br><br>くぶん
出来る	to be able (in a position) to do<br><br>できる
自動販売機	vending machine<br><br>じどうはんばいき
業務	business, affairs, duties<br>ぎょうむ<br><br>ぎょうむ
代行	acting as agent<br><br>だいこう
一方	one (esp. of two)<br><br>いっぽう
手動	manual (operation)<br><br>しゅどう
操る	to manipulate<br><br>あやつる
人形	puppet, doll<br><br>にんぎょう
類	a kind<br><br>たぐい
何	what<br><br>なに
目的	purpose<br><br>もくてき
予め	beforehand<br><br>あらかじめ
設計	plan; design; layout<br><br>せっけい
一連	series<br><br>いちれん
特定	specific<br><br>とくてい
今日	today<br><br>きょう
原型	prototype<br><br>げんけい
見出す	to find out<br><br>みだす
間接	indirect<br><br>かんせつ
見なす	to consider as<br><br>みなす
可能	possible<br><br>かのう
同時に	simultaneously<br><br>どうじに
動力	motive power, dynamic force<br><br>どうりょく
内蔵	internal (e.g. disk)<br><br>ないぞう
機械的	mechanical<br><br>きかいてき
電気	electricity<br><br>でんき
伝達	transmission (e.g. news)<br><br>でんたつ
昨今	nowadays<br><br>さくこん
言語	language<br><br>げんご
扱う	to handle<br><br>あつかう
物体	body, object / overemphasis<br><br>ぶったい、もったい
存在	existence<br><br>そんざい
間違う	to make a mistake<br><br>まちがう
前述	aforementioned<br><br>ぜんじゅつ
本来	essentially; naturally; by nature; in (and of) itself; originally<br><br>ほんらい
操縦	flying (a plane); management; handling; control; manipulation<br><br>そうじゅう
者	someone doing that work / person / ("-er")<br><br>しゃ、もの
搭乗	boarding (an airplane)<br><br>とうじょう
原則	principle, general rule<br><br>げんそく
含める	to include<br><br>ふくめる
乗る	to get on (board)<br><br>のる
作業用	(used) for work<br><br>さぎょうよう
呼ぶ	to name<br><br>よぶ
特に	particularly<br><br>とくに
高度	altitude<br><br>こうど
単なる	mere<br><br>たんなる
指示	indication; instruction; designation; directions<br>しじ<br><br>しじ
命令	instruction<br><br>めいれい
一層	all the more<br><br>いっそう
来る	to come (spatially or temporally)<br><br>くる
古い	old (not person)<br><br>ふるい
概念	general idea<br><br>がいねん
多岐に渡る	to cover a lot of ground<br><br>たきにわたる
語源	word root<br>...げん<br><br>ごげん
小説家	novelist<br><br>しょうせつか
創作	production; literary creation; work (そう...)<br><br>そうさく
発表	announcement<br><br>はっぴょう
戯曲	play, drama (with "music")<br><br>ぎきょく
広まる	to spread<br><br>ひろまる
生きる	to live<br><br>いきる
化学	chemistry<br><br>かがく
物質	substance<br><br>ぶっしつ
加工	manufacturing かこう<br><br>かこう
組み合わせる	to join together<br><br>くみあわせる
労働	manual labor<br><br>ろうどう
着想	conception; idea ("arrive at a thought")<br><br>ちゃくそう
伝説	tradition (~passed-on explanation)<br><br>でんせつ
影響	influence<br><br>えいきょう
自身	by oneself ("personally, I...")<br><br>じしん
兄	older brother<br><br>あに
画家	painter<br><br>がか
話す	to speak<br><br>はなす
名前	name<br><br>なまえ
絵筆	paintbrush (to draw a "portrait")<br><br>えふで
口調	tone (e.g. of voice, etc.)<br><br>くちょう
異説	different opinion<br><br>いせつ
結果	result<br><br>けっか
入力	input<br><br>にゅうりょく
実現	implementation (e.g. of a system), realization<br><br>じつげん
検索	looking up (e.g. a word in a dictionary)<br><br>けんさく
返す	to return (something)<br><br>かえす
据え置く	to leave as it is<br><br>すえおく
型	model<br><br>かた
製造	manufacture, production ("made in...")<br><br>せいぞう
動く	to move<br><br>うごく
限る	to restrict<br><br>かぎる
人間社会	human society<br><br>にんげんしゃかい
旧来	traditional ("old stuff came")<br><br>きゅうらい
同等	equality<br><br>どうとう
一部	one part<br><br>いちぶ
歩行	walk (漢語)<br><br>ほこう
人間型	humanoid<br><br>にんげんがた
建物	building<br><br>たてもの
巡回	going around<br><br>じゅんかい
警備	defense<br><br>けいび
開始	start (漢語)<br><br>かいし
病院	hospital<br><br>びょういん
物資	goods; materials<br><br>ぶっし
運搬	transport<br><br>うんぱん
間	space (between)<br><br>あいだ
移動	removal; migration; movement; mobile (e.g. communications)<br><br>いどう
始める	to start 女<br><br>はじめる
受ける	to receive; to accept; to get; to inherit; to catch (e.g. a ball); to parry (e.g. a blow); to take (lesson, test, damage); to sustain (damage); to incur (loss)<br><br>うける
想像	imagination<br><br>そうぞう
実在	reality ("real existence")<br><br>じつざい
概略	outline (of a text)<br><br>がいりゃく
解説	explanation (for "understanding")<br><br>かいせつ
長い間	long interval<br><br>ながいあいだ
範囲内	within range<br><br>はんいない
組み立て	construction<br><br>くみたて
工場	factory<br><br>こうじょう
生産ライン	production line<br><br>せいさんライン
高温	high temperature<br><br>こうおん
環境	environment<br><br>かんきょう
下	below<br><br>した
点検	inspection<br><br>てんけん
保守	maintenance<br><br>ほしゅ
二足	two legs<br><br>にそく
技研	technical research institute<br><br>ぎけん
川	river<br><br>かわ
総合	synthesis<br><br>そうごう
研究所	research establishment (institute, laboratory, etc.)<br><br>けんきゅうじょ
川崎	Kawasaki (city)<br><br>かわさき
重工業	heavy industry<br><br>じゅうこうぎょう
人型ロボット	humanoid robot<br><br>ひとがたロボット
企画	planning<br><br>きかく
向け	intended for ...<br><br>むけ
個人	individual<br><br>こじん
現れ	embodiment<br><br>あらわれ
指揮	command; direction (e.g. of an orchestra)<br><br>しき
吹く	to blow (wind, etc.)<br><br>ふく
叩く	to strike<br><br>はたく、たたく
目指す	to aim at<br><br>めざす
描く	to draw<br><br>かく
溶け込む	to melt into<br><br>とけこむ
共同	doing together (as equals)<br><br>きょうどう
共に	along with<br><br>ともに
生活	life (one's daily existence)<br><br>せいかつ
沿う	to run along; to follow (a plan, etc.); to act in accordance with<br><br>そう
少なからず	in no small numbers<br><br>すくなからず
開発者	developer<br><br>かいはつしゃ
発言	utterance<br><br>はつげん
示す	to denote<br><br>しめす
若い	young<br><br>わかい
世代	generation<br><br>せだい
巨大	huge<br><br>きょだい
言及	reference<br><br>げんきゅう
機動警察	mobile police<br><br>きどうけいさつ
公言	("public") declaration<br><br>こうげん
動機	motive<br><br>どうき
依頼	request<br><br>いらい
社会	society<br><br>しゃかい
普及	diffusion; spread<br><br>ふきゅう
制御	control<br><br>せいぎょ
博覧会	exhibition (big "fair")<br><br>はくらんかい
展示	exhibition, display<br><br>てんじ
施設	institution; establishment; facility; (army) engineer<br><br>しせつ
近年	recent years<br><br>きんねん
高度化	to increase speed<br><br>こうどか
伴う	to accompany<br><br>ともなう
案内	information; guidance; leading; to guide; to show (around); to conduct<br><br>あんない
実質的	substantially<br><br>じっしつてき
果たす	to accomplish<br><br>はたす
到る	to arrive at (e.g. a decision)<br><br>いたる
会場	assembly hall; meeting place; the grounds<br><br>かいじょう
客寄せ	attracting customers<br><br>きゃくよせ
証券取引所	securities exchange<br><br>しょうけんとりひきじょ
史上	historical<br><br>しじょう
初める	to begin to<br><br>そめる
取引	transactions<br><br>とりひき
鐘	bell (often a large hanging bell)<br><br>かね
鳴らす	to ring; to sound; to chime; to beat; to snort (nose<br><br>ならす
科学	science<br><br>かがく
未来	the future (usually distant)<br><br>みらい
青山	blue or green mountain<br><br>せいざん
常設	permanent<br><br>じょうせつ
歩く	to walk<br><br>あるく
回る	to turn; to revolve; to visit several places; to function well; to pass a certain time<br><br>まわる
浸透	permeation; penetration; soaking; osmosis<br><br>しんとう
家庭	home; family; household ("home garden")<br><br>かてい
愛玩	fond of<br><br>あいがん
娯楽	pleasure; amusement<br><br>ごらく
果ては	in the end; on top of that<br><br>はては
家族	family<br><br>かぞく
家庭用	for home (vs business) use<br><br>かていよう
取る	to take<br><br>とる
自由に	freely<br><br>じゆうに
和む	to be softened<br><br>なごむ
更に	furthermore<br><br>さらに
居る	to be (animate)<br><br>いる、おる
近未来	near future<br><br>きんみらい
欲求	desire<br><br>よっきゅう
応える	to respond; to live up to; to reward; to take its toll; to strike home<br><br>こたえる
付く	to be attached<br><br>つく
動物	animal<br><br>どうぶつ
市場	market<br><br>しじょう、いちば
投入	throwing (e.g. something into somewhere)<br><br>とうにゅう
傾向	tendency<br><br>けいこう
世界初	world-first<br><br>せかいはつ
本格的	full-blown<br><br>ほんかくてき
家事	housework<br><br>かじ
手伝う	to help (give a hand)<br><br>てつだう
要介護	primary nursing care<br><br>ようかいご
介護	nursing<br><br>かいご
一環	link (e.g. a part of a larger plan)<br><br>いっかん
家庭内	domestic<br><br>かていない
警邏	patrol<br><br>けいら
試みる	to try; to test (with your "heart")<br><br>こころみる
始まる	to begin<br><br>はじまる
対する	to face (each other)<br><br>たいする
位置	place いち<br><br>いち
上半身	upper half of body<br><br>じょうはんしん
竜	dragon (esp. a Chinese dragon)<br><br>たつ
災害	calamity<br><br>さいがい
現場	actual spot<br><br>げんば
大型	large (model, e.g. PC, car)<br><br>おおがた
身長	height (of body)<br><br>しんちょう
体重	one's body weight<br><br>たいじゅう
無限	infinite<br><br>むげん
軌道	trajectory<br><br>きどう
遠隔	distant; remote; isolated<br><br>えんかく
有人	manned<br><br>ゆうじん
腕	arm<br><br>うで
下半身	lower half of body<br><br>しもはんしん
研究開発	research and development<br><br>けんきゅうかいはつ
障害者	handicapped person<br><br>しょうがいしゃ
車いす	wheelchair<br><br>くるまいす
代替	substitution; subrogation; alternation; alternative; substitute<br><br>だいがえ
国際	international<br><br>こくさい
最大	greatest<br><br>さいだい
級	class, grade, rank<br>一字<br><br>きゅう
階段	stairs<br><br>かいだん
昇降	ascending and descending<br><br>しょうこう
原	field (~akihabara)<br><br>はら
足	leg<br><br>あし
詳細	detail<br><br>しょうさい
軍事	military affairs<br><br>ぐんじ
付随	incident to; attaching to; annexed to; concomitant; attending<br><br>ふずい
危険物	hazardous materials<br><br>きけんぶつ
処理	processing<br><br>しょり
人的	human<br><br>じんてき
戦死	death in action<br><br>せんし
減らす	to diminish<br><br>へらす
機械化	mechanization<br><br>きかいか
米国	America<br><br>べいこく
偵察	scout out; reconnaissance ("spy")<br><br>ていさつ
不意	sudden; abrupt; unexpected; unforeseen<br><br>ふい
接触	touch (漢語)<br><br>せっしょく
戦闘	battle<br><br>せんとう
巻く	to wind; to coil; to roll<br><br>まく
地雷	land mine<br><br>じらい
戦後	postwar period<br><br>せんご
特殊	special; unique<br><br>とくしゅ
宇宙	universe<br><br>うちゅう
苛酷	rigour<br><br>かこく
面	surface<br><br>おも
運用	making use of<br><br>うんよう
事業	project<br><br>じぎょう
重要性	importance<br><br>じゅうようせい
益々	increasingly; more and more<br><br>ますます
一度	once<br><br>いちど
打ち上げる	to launch; to shoot up; (of waves) dash; to wash up (ashore); to finish; to close<br><br>うちあげる
上げる	to raise<br><br>あげる
二度と	never again (with negative verb)<br><br>にどと
帰る	to return (home)<br><br>かえる
探査	probe; inquiry; enquiry; investigation たんさ<br><br>たんさ
任務	duty; function; office; mission; taskにんむ
人道的	humane<br><br>じんどうてき
見地	point ("ground") of view<br><br>けんち
乗せる	to place on (something)<br><br>のせる
訳	conclusion from reasoning, judgement or calculation based on something read or heard<br>漢字一字<br><br>わけ
火星	Mars (planet)<br><br>かせい
月	moon<br><br>つき
裏側	the reverse; other side; lining<br><br>うらがわ
無線	wireless<br><br>むせん
直接	direct<br><br>ちょくせつ
自己	self; oneself<br><br>じこ
能力	ability<br><br>のうりょく
無人	lack of help; unmanned; uninhabited<br><br>むにん
求める	to request; to demand; to want; to wish for; to search for; to pursue (pleasure); to hunt (a job); to buy<br><br>もとめる
上	from the standpoint of<br><br>じょう
探索	search; lookup; hunt; (item of) research; exploration; investigation<br>たんさく<br><br>たんさく
経路	route<br><br>けいろ
続行	continuation (漢語)<br><br>ぞっこう
実用	practical use; utility<br><br>じつよう
供	companion; follower; attendant; retinue<br><br>とも
自国	one's own country<br><br>じこく
製	-made<br><br>せい
生命維持装置	life-support system<br><br>せいめいいじそうち
国際宇宙ステーション	International Space Station<br><br>こくさいうちゅうステーション
修正	amendment; correction; revision; modification; alteration; retouching; update; fix<br>しゅうせい<br><br>しゅうせい
宇宙船	space ship<br><br>うちゅうせん
国内	internal to a country; domestic<br><br>こくない
方針	objective; plan; policy<br><br>ほうしん
